DeviceName,DeviceDateTime,BatteryStatus,CommId,Latitude,Longitude
0-4407230,13/10/2022 9:15:00,LOW,0-4407230,43.0756,5.97028
0-4407230,13/10/2022 9:10:00,LOW,0-4407230,43.07574,5.97053
0-4407230,13/10/2022 9:05:00,LOW,0-4407230,43.07597,5.97096
0-4407230,13/10/2022 9:00:00,LOW,0-4407230,43.07621,5.97116
0-4407230,13/10/2022 8:55:00,LOW,0-4407230,43.07642,5.97139
0-4407230,13/10/2022 8:50:00,LOW,0-4407230,43.07661,5.97165
0-4407230,13/10/2022 8:45:00,LOW,0-4407230,43.07676,5.97201
0-4407230,13/10/2022 8:40:00,LOW,0-4407230,43.07698,5.97225
0-4407230,13/10/2022 8:35:00,LOW,0-4407230,43.0772,5.97257
0-4407230,13/10/2022 8:30:00,LOW,0-4407230,43.07746,5.97289
0-4407230,13/10/2022 8:25:00,LOW,0-4407230,43.07774,5.97319
0-4407230,13/10/2022 8:20:00,LOW,0-4407230,43.07746,5.97367
0-4407230,13/10/2022 8:15:00,LOW,0-4407230,43.07671,5.97203
0-4407230,13/10/2022 8:10:00,LOW,0-4407230,43.07711,5.97242
0-4407230,13/10/2022 8:05:00,LOW,0-4407230,43.07727,5.97854
0-4407230,13/10/2022 8:02:00,LOW,0-4407230,43.07809,5.98311
0-4407230,13/10/2022 7:55:00,LOW,0-4407230,43.0802,5.99798
0-4407230,13/10/2022 7:50:00,LOW,0-4407230,43.0796,6.00193
0-4407230,13/10/2022 7:45:00,LOW,0-4407230,43.08003,5.98545
0-4407230,13/10/2022 7:40:00,LOW,0-4407230,43.08236,5.96693
0-4407230,13/10/2022 7:35:00,LOW,0-4407230,43.08487,5.94841
0-4407230,13/10/2022 7:30:00,LOW,0-4407230,43.08782,5.93069
0-4407230,13/10/2022 7:25:00,LOW,0-4407230,43.09338,5.91858
0-4407230,13/10/2022 7:20:00,LOW,0-4407230,43.10394,5.91163
0-4407230,13/10/2022 7:15:00,LOW,0-4407230,43.10641,5.89794
0-4407230,13/10/2022 7:10:00,LOW,0-4407230,43.10418,5.88893
0-4407230,13/10/2022 7:06:00,LOW,0-4407230,43.1052,5.88567
0-4408436,13/10/2022 11:54:00,LOW,0-4408436,43.07321,5.97626
0-4408436,13/10/2022 11:49:00,LOW,0-4408436,43.07482,5.97783
0-4408436,13/10/2022 11:44:00,LOW,0-4408436,43.07467,5.97759
0-4408436,13/10/2022 11:39:00,LOW,0-4408436,43.07456,5.97727
0-4408436,13/10/2022 11:34:00,LOW,0-4408436,43.07447,5.97699
0-4408436,13/10/2022 11:29:00,LOW,0-4408436,43.07439,5.97678
0-4408436,13/10/2022 11:24:00,LOW,0-4408436,43.07431,5.97656
0-4408436,13/10/2022 11:19:00,LOW,0-4408436,43.07418,5.97639
0-4408436,13/10/2022 11:14:00,LOW,0-4408436,43.07404,5.97626
0-4408436,13/10/2022 11:09:00,LOW,0-4408436,43.07389,5.97618
0-4408436,13/10/2022 11:04:00,LOW,0-4408436,43.07378,5.97615
0-4408436,13/10/2022 10:59:00,LOW,0-4408436,43.0736,5.97607
0-4408436,13/10/2022 10:54:00,LOW,0-4408436,43.07347,5.97603
0-4408436,13/10/2022 10:49:00,LOW,0-4408436,43.0734,5.97594
0-4408436,13/10/2022 10:44:00,LOW,0-4408436,43.07331,5.97588
0-4408436,13/10/2022 10:39:00,LOW,0-4408436,43.07323,5.97583
0-4408436,13/10/2022 10:34:00,LOW,0-4408436,43.07321,5.97577
0-4408436,13/10/2022 10:29:00,LOW,0-4408436,43.07314,5.97573
0-4408436,13/10/2022 10:24:00,LOW,0-4408436,43.0731,5.9757
0-4408436,13/10/2022 10:19:00,LOW,0-4408436,43.07311,5.97562
0-4408436,13/10/2022 10:14:00,LOW,0-4408436,43.07311,5.97553
0-4408436,13/10/2022 10:09:00,LOW,0-4408436,43.07309,5.97555
0-4408436,13/10/2022 10:04:00,LOW,0-4408436,43.07304,5.97564
0-4408436,13/10/2022 9:59:00,LOW,0-4408436,43.07299,5.97579
0-4408436,13/10/2022 9:54:00,LOW,0-4408436,43.07301,5.97596
